"Total Requirements, Industry-by-Industry - Summary"
525,"Funds, trusts, and other financial vehicles",0.0000354,0.0000151,0.0000329,0.0000278,0.0000267,0.0000164,0.0000175,0.0000250,0.0000355,0.0000392,0.0000272,0.0000280,0.0000085,0.0000328,0.0000429,0.0000199,0.0000338,0.0000220,0.0000377,0.0000327,0.0000308,0.0000257,0.0000202,0.0000249,0.0000205,0.0000272,0.0000516,0.0000362,0.0000284,0.0000299,0.0000343,0.0000222,0.0000174,0.0000610,0.0000833,0.0002304,0.0000238,0.0000433,0.0000406,0.0000119,0.0000326,0.0000223,0.0000176,0.0000244,0.0000561,0.0019712,1.0144730,0.0000102,0.0001062,0.0000701,0.0000207,0.0000181,0.0000235,0.0000535,0.0000287,0.0000402,0.0000411,0.0000364,0.0000546,0.0000475,0.0000771,0.0000444,0.0000443,0.0000232,0.0000396,0.0000274,0.0000104,0.0000138,0.0001738,0.0002041,0.0000822
HS,Housing,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
ORE,Other real estate,0.0284145,0.0066493,0.0317881,0.0252229,0.0222056,0.0277125,0.0390642,0.0313649,0.0332225,0.0355192,0.0433306,0.0314901,0.0097365,0.0304262,0.0351718,0.0212879,0.0505621,0.0303001,0.0384019,0.0412847,0.0349247,0.0400073,0.0606766,0.0252214,0.0201369,0.0409264,0.0742293,0.0929531,0.1346774,0.1135223,0.1396987,0.0253795,0.0251613,0.0628180,0.0617570,0.0739804,0.0256212,0.0505778,0.0848661,0.0407109,0.0543339,0.0793837,0.0475390,0.0553906,0.1073334,0.0450180,0.0800036,0.0085345,1.1643934,0.0747613,0.0647683,0.0339823,0.0785126,0.0916033,0.0570382,0.0654740,0.1341691,0.0709943,0.1210826,0.1481424,0.0979901,0.1138031,0.1559543,0.0553099,0.1075977,0.1231634,0.0192387,0.0450499,0.0299025,0.0273984,0.0395476
532RL,Rental and leasing services and lessors of intangible assets,0.0162718,0.0044957,0.0277711,0.0333425,0.0252757,0.0111088,0.0255710,0.0147392,0.0226629,0.0233349,0.0195692,0.0182398,0.0062732,0.0174863,0.0330526,0.0138550,0.0172354,0.0175070,0.0227374,0.0157677,0.1263510,0.0220361,0.0174236,0.0211538,0.0165277,0.0195758,0.0270425,0.0112972,0.0131029,0.0304410,0.0171923,0.0633124,0.0955036,0.1447988,0.0703555,0.0253074,0.0062880,0.0181470,0.0288897,0.0127084,0.0127756,0.0221322,0.0367545,0.0115722,0.0268288,0.0089619,0.0195770,0.0035737,0.0147280,1.0482065,0.0097265,0.0132686,0.0174128,0.0546067,0.0192144,0.0318062,0.0113288,0.0120548,0.0129670,0.0097802,0.0114662,0.0224865,0.0225081,0.0145219,0.0383710,0.0102710,0.0088564,0.0070191,0.0130977,0.0116872,0.0170929
5411,Legal services,0.0052167,0.0023156,0.0080772,0.0093777,0.0060665,0.0120965,0.0087620,0.0093056,0.0088426,0.0103588,0.0108689,0.0084042,0.0029308,0.0066105,0.0100767,0.0060474,0.0108266,0.0113487,0.0075159,0.0085487,0.0089199,0.0107690,0.0097697,0.0065811,0.0050165,0.0100305,0.0134621,0.0070446,0.0068821,0.0074469,0.0095364,0.0046024,0.0145166,0.0104761,0.0059002,0.0103178,0.0047478,0.0061082,0.0056719,0.0117830,0.0104500,0.0093292,0.0141747,0.0110100,0.0292595,0.0198944,0.0313312,0.0019802,0.0157856,0.0089169,1.0094351,0.0096934,0.0192119,0.0209563,0.0122099,0.0100033,0.0064194,0.0078028,0.0254255,0.0111431,0.0093524,0.0184095,0.0206634,0.0064450,0.0092494,0.0112872,0.0039648,0.0040122,0.0057016,0.0107011,0.0113153
5415,Computer systems design and related services,0.0047040,0.0014433,0.0204090,0.0077237,0.0036273,0.0065909,0.0069917,0.0069344,0.0068219,0.0081852,0.0091316,0.0097323,0.0028159,0.0055028,0.0074669,0.0139726,0.0081441,0.0061855,0.0065581,0.0057835,0.0050722,0.0065672,0.0089286,0.0131542,0.0039014,0.0065762,0.0118444,0.0152066,0.0057132,0.0090283,0.0084505,0.0071238,0.0149720,0.0089958,0.0061279,0.0100459,0.0034601,0.0045810,0.0047919,0.0225900,0.0065011,0.0088339,0.0260216,0.0097780,0.0199613,0.0108359,0.0196753,0.0012212,0.0093133,0.0064348,0.0107042,1.0173894,0.0080568,0.0064909,0.0173321,0.0090514,0.0113715,0.0061610,0.0100643,0.0075855,0.0110597,0.0064978,0.0110713,0.0069047,0.0096940,0.0074766,0.0111944,0.0351901,0.0054371,0.0177588,0.0188533
5412OP,"Miscellaneous professional, scientific, and technical services",0.0284682,0.0117636,0.0378064,0.0372017,0.0260818,0.0384884,0.0532558,0.0420627,0.0433387,0.0504207,0.0421911,0.0382247,0.0129625,0.0377956,0.0449737,0.0311434,0.0570893,0.0410831,0.0450098,0.0416948,0.0369999,0.0438188,0.0428051,0.0318834,0.0253001,0.0448309,0.0791756,0.0930723,0.0529142,0.0418817,0.0822358,0.0264177,0.0444949,0.0671020,0.0370809,0.0534393,0.0511506,0.0284400,0.0313865,0.0670589,0.0589150,0.0725579,0.1051193,0.0667988,0.1063874,0.0602108,0.0921811,0.0074247,0.0771741,0.0641914,0.0364372,0.0669057,1.0974442,0.0868088,0.0702963,0.0507576,0.0500447,0.0393377,0.0690500,0.0524332,0.0545313,0.0671188,0.0761905,0.0437455,0.0567221,0.0570344,0.0962856,0.0461299,0.0420491,0.0521240,0.0953887
55,Management of companies and enterprises,0.0189375,0.0046098,0.1064788,0.0690008,0.0276502,0.0111529,0.0245239,0.0203865,0.0358757,0.0309910,0.0285675,0.0483830,0.0164663,0.0332860,0.0457697,0.0267241,0.0260644,0.0352649,0.0496077,0.0441081,0.0412140,0.0316150,0.0226372,0.0662049,0.0324277,0.0305512,0.0629905,0.0166638,0.0217695,0.0564702,0.0350228,0.0294026,0.0150812,0.0391585,0.0293395,0.0171064,0.0071884,0.0380187,0.0213708,0.0166848,0.0109554,0.0162466,0.0152554,0.0142043,0.0368789,0.0125157,0.0320942,0.0020050,0.0426827,0.0517118,0.0150574,0.0143683,0.0196810,1.0114564,0.0294068,0.0489952,0.0244229,0.0413059,0.0250617,0.0334629,0.0216201,0.0233422,0.0257220,0.0262275,0.0775726,0.0235124,0.0112964,0.0087968,0.0111774,0.0127776,0.0224714
561,Administrative and support services,0.0193342,0.0055494,0.0234089,0.0229801,0.0207294,0.0278461,0.0266359,0.0282920,0.0306814,0.0479414,0.0482375,0.0305724,0.0109202,0.0277641,0.0357093,0.0425661,0.0323953,0.0284625,0.0288688,0.0269491,0.0568609,0.0320365,0.0569972,0.0223809,0.0192608,0.0306582,0.0566000,0.0459925,0.0370011,0.0436968,0.0498595,0.0372602,0.0343210,0.1613807,0.0522529,0.1272526,0.0592660,0.0547292,0.0537869,0.0655198,0.0308691,0.0723666,0.0766126,0.0404234,0.0610828,0.0318409,0.0471527,0.0053332,0.1573809,0.1059012,0.0379531,0.0708662,0.0521832,0.0547113,1.0932527,0.0634552,0.0500823,0.0428000,0.0876562,0.0726456,0.0430474,0.0535767,0.0531326,0.0369320,0.0439900,0.0468426,0.0281725,0.0480358,0.0257219,0.0380439,0.0506364
562,Waste management and remediation services,0.0021418,0.0008083,0.0040005,0.0025155,0.0028094,0.0038203,0.0034889,0.0031046,0.0038391,0.0180501,0.0068582,0.0046038,0.0012093,0.0046844,0.0046891,0.0027573,0.0048775,0.0030647,0.0036709,0.0036563,0.0022597,0.0040841,0.0039986,0.0037248,0.0030661,0.0038925,0.0039288,0.0052726,0.0057989,0.0049237,0.0058249,0.0020165,0.0033737,0.0035259,0.0050489,0.0039448,0.0057826,0.0043643,0.0042007,0.0018815,0.0023487,0.0034321,0.0024078,0.0025586,0.0045999,0.0030673,0.0043353,0.0004715,0.0387519,0.0053475,0.0030368,0.0021460,0.0040917,0.0042943,0.0048726,1.0798137,0.0064246,0.0040637,0.0065127,0.0075728,0.0055068,0.0046670,0.0079672,0.0050987,0.0057336,0.0127381,0.0016278,0.0035041,0.0040590,0.0104195,0.0128512
61,Educational services,0.0001684,0.0000680,0.0001088,0.0001050,0.0000799,0.0001196,0.0001997,0.0001928,0.0001480,0.0003727,0.0002002,0.0001872,0.0000691,0.0001773,0.0002516,0.0001324,0.0001836,0.0001319,0.0001939,0.0001527,0.0001284,0.0001781,0.0002206,0.0001168,0.0001299,0.0001773,0.0007352,0.0006010,0.0015908,0.0001122,0.0017801,0.0003477,0.0001542,0.0002489,0.0002035,0.0002434,0.0001332,0.0001819,0.0000924,0.0000962,0.0014207,0.0009047,0.0001611,0.0001738,0.0001826,0.0000679,0.0001799,0.0000421,0.0002620,0.0002019,0.0000838,0.0001537,0.0001496,0.0002314,0.0004129,0.0002873,1.0071802,0.0001203,0.0001824,0.0001373,0.0002047,0.0183555,0.0026012,0.0001362,0.0002397,0.0026935,0.0001081,0.0002257,0.0013931,0.0040958,0.0001923
621,Ambulatory health care services,0.0000349,0.0000374,0.0000330,0.0000248,0.0000448,0.0000388,0.0000291,0.0000538,0.0000305,0.0002454,0.0000801,0.0000578,0.0000280,0.0000587,0.0000634,0.0000331,0.0000454,0.0000340,0.0000357,0.0000273,0.0000243,0.0000394,0.0000315,0.0000383,0.0000224,0.0000342,0.0000338,0.0000256,0.0000270,0.0000269,0.0000327,0.0001803,0.0000270,0.0001299,0.0000337,0.0000402,0.0000298,0.0000410,0.0000201,0.0000220,0.0000817,0.0000826,0.0000301,0.0000362,0.0001931,0.0000197,0.0001242,0.0000053,0.0000649,0.0000451,0.0000147,0.0000300,0.0000901,0.0000373,0.0001122,0.0000846,0.0000446,1.0120288,0.0155027,0.0003629,0.0000279,0.0007821,0.0000618,0.0000280,0.0000375,0.0002048,0.0000506,0.0024181,0.0000233,0.0053218,0.0000397
622,Hospitals,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000005,0.0000002,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000000,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000004,0.0000001,0.0000003,0.0000001,0.0000001,0.0000001,0.0000001,0.0000000,0.0000000,0.0000002,0.0000002,0.0000001,0.0000001,0.0000004,0.0000000,0.0000003,0.0000000,0.0000001,0.0000001,0.0000000,0.0000001,0.0000002,0.0000001,0.0000002,0.0000002,0.0000001,0.0000250,1.0003114,0.0000008,0.0000001,0.0000016,0.0000001,0.0000001,0.0000001,0.0000004,0.0000001,0.0000050,0.0000000,0.0000111,0.0000001
623,Nursing and residential care facilities,0.0000377,0.0000146,0.0000450,0.0000364,0.0000664,0.0000292,0.0000295,0.0000453,0.0000404,0.0000929,0.0000521,0.0000569,0.0000639,0.0000512,0.0000761,0.0000394,0.0000466,0.0000411,0.0000493,0.0000420,0.0000310,0.0000525,0.0000445,0.0000784,0.0000395,0.0000506,0.0000430,0.0000158,0.0000247,0.0000382,0.0000361,0.0005650,0.0000362,0.0003481,0.0000444,0.0000390,0.0000327,0.0000419,0.0000189,0.0000236,0.0000373,0.0000972,0.0000277,0.0000661,0.0005670,0.0000264,0.0003436,0.0000061,0.0000358,0.0000644,0.0000109,0.0000407,0.0000245,0.0000450,0.0000266,0.0000348,0.0000300,0.0000151,0.0000244,1.0000253,0.0000235,0.0000338,0.0000335,0.0000402,0.0000487,0.0000614,0.0001154,0.0079830,0.0000241,0.0007983,0.0000357
624,Social assistance,0.0000004,0.0000001,0.0000004,0.0000004,0.0000007,0.0000003,0.0000003,0.0000004,0.0000004,0.0000009,0.0000005,0.0000006,0.0000006,0.0000005,0.0000007,0.0000004,0.0000005,0.0000004,0.0000005,0.0000004,0.0000003,0.0000005,0.0000004,0.0000008,0.0000004,0.0000005,0.0000004,0.0000002,0.0000002,0.0000004,0.0000004,0.0000055,0.0000004,0.0000034,0.0000004,0.0000004,0.0000003,0.0000004,0.0000002,0.0000002,0.0000004,0.0000010,0.0000003,0.0000006,0.0000056,0.0000003,0.0000034,0.0000001,0.0000004,0.0000006,0.0000001,0.0000004,0.0000002,0.0000004,0.0000003,0.0000003,0.0000003,0.0000001,0.0000002,0.0000002,1.0000002,0.0000003,0.0000003,0.0000004,0.0000005,0.0000006,0.0000011,0.0000784,0.0000002,0.0000078,0.0000004
711AS,"Performing arts, spectator sports, museums, and related activities",0.0015482,0.0003814,0.0019093,0.0015857,0.0012838,0.0012401,0.0017400,0.0019364,0.0020216,0.0023988,0.0020471,0.0019420,0.0006516,0.0016362,0.0022086,0.0014404,0.0022082,0.0017242,0.0021148,0.0017892,0.0018843,0.0020771,0.0023619,0.0015778,0.0012161,0.0021802,0.0043561,0.0042160,0.0037985,0.0023064,0.0031003,0.0016233,0.0032072,0.0026349,0.0021968,0.0025994,0.0022314,0.0030520,0.0014864,0.0021718,0.0870748,0.0513811,0.0039964,0.0055359,0.0048674,0.0015316,0.0059055,0.0004253,0.0086945,0.0036720,0.0031355,0.0041537,0.0051250,0.0094081,0.0048787,0.0035389,0.0043699,0.0030832,0.0042008,0.0036973,0.0077246,1.1549372,0.0087668,0.0034636,0.0073963,0.0042492,0.0016109,0.0021785,0.0023009,0.0033106,0.0022508
713,"Amusements, gambling, and recreation industries",0.0004374,0.0001023,0.0004995,0.0004273,0.0004506,0.0004171,0.0005394,0.0005691,0.0006712,0.0006532,0.0005567,0.0005252,0.0001688,0.0004124,0.0005888,0.0003600,0.0006415,0.0004781,0.0005479,0.0004057,0.0004739,0.0005401,0.0006571,0.0004008,0.0003226,0.0005820,0.0010834,0.0003649,0.0005923,0.0003718,0.0009787,0.0003273,0.0004133,0.0006001,0.0003588,0.0004586,0.0002856,0.0004079,0.0002593,0.0004962,0.0006113,0.0005130,0.0010955,0.0016859,0.0014272,0.0003026,0.0014364,0.0001158,0.0006214,0.0011293,0.0007609,0.0018067,0.0008480,0.0027337,0.0014523,0.0010986,0.0007202,0.0012148,0.0004536,0.0006955,0.0011309,0.0009781,1.0020932,0.0015956,0.0016158,0.0004469,0.0029823,0.0003177,0.0002566,0.0013360,0.0007960
721,Accommodation,0.0013635,0.0004048,0.0017193,0.0016851,0.0022949,0.0027128,0.0018989,0.0027381,0.0030769,0.0030732,0.0028506,0.0023781,0.0007376,0.0019516,0.0027190,0.0016633,0.0033462,0.0023715,0.0022392,0.0019884,0.0024880,0.0027121,0.0041735,0.0015412,0.0013582,0.0029945,0.0038744,0.0023592,0.0024889,0.0024707,0.0028866,0.0019362,0.0024246,0.0034885,0.0021772,0.0028649,0.0018847,0.0031057,0.0019076,0.0029497,0.0039788,0.0032894,0.0078747,0.0104328,0.0093056,0.0019576,0.0091058,0.0007004,0.0135243,0.0070164,0.0041499,0.0111007,0.0047307,0.0040703,0.0069267,0.0070065,0.0050775,0.0053118,0.0031376,0.0039365,0.0044584,0.0031225,0.0048793,1.0027344,0.0063845,0.0031207,0.0063103,0.0061396,0.0020504,0.0033244,0.0027846
722,Food services and drinking places,0.0045006,0.0012405,0.0044516,0.0042119,0.0048949,0.0060889,0.0045630,0.0059204,0.0062147,0.0070185,0.0060214,0.0052209,0.0016566,0.0046302,0.0061006,0.0037191,0.0067448,0.0048106,0.0057649,0.0052408,0.0063829,0.0060753,0.0073502,0.0039148,0.0032242,0.0062135,0.0103035,0.0090245,0.0096708,0.0108895,0.0110023,0.0307423,0.0051157,0.0089957,0.0091388,0.0089788,0.0050775,0.0104823,0.0070846,0.0052852,0.0078319,0.0068360,0.0105948,0.0185324,0.0147708,0.0069175,0.0175510,0.0013789,0.0406164,0.0184443,0.0091969,0.0175527,0.0138621,0.0141479,0.0163324,0.0106958,0.0107729,0.0296655,0.0320782,0.0411305,0.0253317,0.0097094,0.0202302,0.0487354,1.0160170,0.0084367,0.0054273,0.0062265,0.0074396,0.0112859,0.0070677
81,"Other services, except government",0.0059344,0.0023736,0.0058089,0.0062219,0.0050974,0.0050629,0.0095186,0.0096465,0.0137839,0.0159617,0.0118137,0.0092837,0.0040385,0.0081651,0.0106906,0.0074643,0.0094502,0.0077421,0.0098313,0.0088086,0.0081070,0.0133428,0.0101724,0.0066827,0.0071361,0.0104692,0.0144362,0.0114715,0.0120134,0.0132067,0.0105387,0.0092298,0.0070825,0.0237994,0.0239702,0.0441668,0.0111816,0.0131726,0.0087582,0.0063320,0.0050714,0.0118231,0.0078216,0.0096631,0.0158353,0.0090654,0.0125366,0.0094434,0.0134796,0.0258542,0.0048217,0.0079609,0.0096286,0.0148773,0.0216543,0.0500214,0.0121723,0.0087254,0.0189008,0.0109773,0.0095342,0.0106501,0.0154254,0.0097141,0.0168623,1.0122415,0.0097927,0.0334941,0.0110704,0.0225828,0.0191002
GFGD,Federal general government (defense),0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,0.0000000
GFGN,Federal general government (nondefense),0.0043888,0.0012355,0.0054099,0.0044341,0.0079688,0.0032141,0.0034636,0.0050578,0.0048722,0.0076704,0.0054812,0.0065169,0.0079316,0.0057284,0.0089599,0.0046840,0.0054287,0.0048821,0.0059403,0.0051306,0.0037807,0.0063092,0.0054378,0.0096965,0.0048620,0.0061546,0.0052735,0.0018316,0.0029155,0.0046833,0.0043570,0.0711476,0.0044038,0.0437880,0.0053811,0.0047122,0.0039238,0.0049064,0.0022547,0.0029082,0.0045218,0.0120538,0.0033779,0.0082445,0.0713356,0.0032502,0.0431870,0.0007362,0.0039196,0.0079379,0.0013052,0.0050307,0.0029643,0.0055395,0.0031660,0.0032139,0.0033014,0.0017625,0.0028460,0.0030267,0.0027917,0.0035245,0.0039350,0.0049230,0.0059481,0.0056056,0.0144330,1.0062098,0.0028625,0.0022181,0.0041787
GFE,Federal government enterprises,0.0028674,0.0006622,0.0020902,0.0024435,0.0011752,0.0026993,0.0019706,0.0025652,0.0027616,0.0038922,0.0027911,0.0029235,0.0010780,0.0033244,0.0033962,0.0020423,0.0025864,0.0018139,0.0031216,0.0026992,0.0021148,0.0030939,0.0026987,0.0021697,0.0022118,0.0028037,0.0091484,0.0039439,0.0038451,0.0030596,0.0054329,0.0017964,0.0015840,0.0369878,0.0085722,0.0052148,0.0033847,0.0038820,0.0047616,0.0016459,0.0026675,0.0016731,0.0035711,0.0025337,0.0054323,0.0018330,0.0041920,0.0002574,0.0027668,0.0057060,0.0011679,0.0016403,0.0019700,0.0016981,0.0022106,0.0028819,0.0021222,0.0021264,0.0048199,0.0025756,0.0034060,0.0019324,0.0024180,0.0060593,0.0085341,0.0017825,0.0013433,0.0012361,1.0034812,0.0023730,0.0024750
GSLG,State and local general government,0.0037451,0.0062239,0.0027026,0.0016396,0.0040510,0.0048120,0.0025815,0.0066236,0.0021983,0.0411587,0.0110710,0.0067434,0.0012842,0.0073604,0.0064946,0.0028805,0.0046045,0.0030217,0.0027427,0.0016357,0.0012925,0.0032049,0.0017381,0.0018852,0.0012251,0.0023130,0.0015365,0.0015954,0.0020129,0.0013952,0.0020022,0.0008437,0.0016224,0.0010327,0.0021764,0.0020893,0.0019812,0.0038710,0.0013318,0.0007447,0.0018501,0.0020088,0.0012219,0.0009561,0.0014258,0.0007756,0.0013698,0.0003309,0.0060524,0.0018558,0.0007552,0.0009701,0.0012366,0.0014131,0.0018728,0.0119637,0.0049332,0.0014669,0.0023844,0.0017123,0.0016943,0.0075324,0.0028911,0.0014819,0.0019857,0.0217425,0.0011819,0.0017666,0.0018207,1.0037025,0.0032437
GSLE,State and local government enterprises,0.0096230,0.0014573,0.0095419,0.0112392,0.0027816,0.0169480,0.0059523,0.0089856,0.0135866,0.0139270,0.0095502,0.0071375,0.0028283,0.0070124,0.0082283,0.0080832,0.0091889,0.0057919,0.0104763,0.0113871,0.0056585,0.0147695,0.0102348,0.0090197,0.0093313,0.0114580,0.0083452,0.0095704,0.0144577,0.0128770,0.0106956,0.0101614,0.0046173,0.0097261,0.0169151,0.0065909,0.0109358,0.0124717,0.0102102,0.0032506,0.0045434,0.0066303,0.0066739,0.0049846,0.0071595,0.0028454,0.0082693,0.0007048,0.0154605,0.0103108,0.0044138,0.0040312,0.0055943,0.0073195,0.0063514,0.0182008,0.0096028,0.0058254,0.0092331,0.0112808,0.0083195,0.0087153,0.0121710,0.0118949,0.0121552,0.0086230,0.0065686,0.0047640,0.0140749,0.0097922,1.0124122
,Total industry output requirement,2.2256261,1.3719556,1.9060548,1.8784986,1.5265888,1.5542613,1.9003908,2.2533889,2.0380011,2.6230053,2.2730427,2.2314905,1.4679526,2.2061331,2.8295847,2.1198611,2.2888849,1.8515533,2.5512488,2.3560596,1.9375356,2.3115420,2.0154011,2.3770917,1.9741708,2.3508634,1.7541919,1.6481605,1.6193334,1.6335595,1.7071351,1.9022401,1.8070119,2.2518862,1.9923859,1.9779534,1.5336118,1.7670652,1.6310887,1.5595780,1.7742894,1.8757083,1.6900051,1.5915599,1.9813957,1.8911867,2.5796957,1.1699042,2.0827142,1.8305139,1.3411007,1.4772779,1.6107351,1.6515584,1.7100682,1.9713125,1.6553241,1.5916105,1.8265170,1.7319425,1.8156901,1.7645498,1.7968711,1.6136207,1.9080193,1.7155035,1.7344779,1.5745734,1.7432371,1.7293006,2.2344472

Legend/Footnotes
Note. Detail may not add to total due to rounding.
